item_code,description,unit_price,volume_per_unit,weight_per_unit
61MXSO,mixer standout,0.0,0.0,0.0
62G1SO,single gas standout,0.0,0.0,0.0
62G2SO,double gas standout,0.0,0.0,0.0
62VC2DD,double vacuum drop down,0.0,0.0,0.0
63E2SC,double electrical socket,0.0,0.0,0.0
63E2SCG,double electrical socket ground,0.0,0.0,0.0
63E2SOW,double electrical standout weatherproof,0.0,0.0,0.0
63E2WP,double electrical wall panel,0.0,0.0,0.0
63E4WP,quad electrical wall panel,0.0,0.0,0.0
6PP100,6mm thick polypropylene worktop 1000mm wide with 18mm plywood backing,752.0,0.5,0
6PP100BS,6mm thick polypropylene worktop 1000mm wide with 18mm plywood backing &back splash,752.0,0.5,0
6PP120,6mm thick polypropylene worktop 1200mm wide with 18mm plywood backing,752.0,0.75,0
6PP150,6mm thick polypropylene worktop 1500mm wide with 18mm plywood backing,752.0,0.75,0
6PP60,6mm thick polypropylene top 600mm wide with 18mm plywood backing,752.0,0.25,0
6PP60BS,6mm thick polypropylene top 600mm wide with 18mm plywood backing & back splash,752.0,0.25,0
6PP70,6mm thick polypropylene top 700mm wide with 18mm plywood backing,752.0,0.5,0
6PP70BS,6mm thick polypropylene top 700mm wide with 18mm plywood backing & back splash,752.0,0.5,0
6PP75,6mm thick polypropylene top 750mm wide with 18mm plywood backing,752.0,0.5,0
6PP75BS,6mm thick polypropylene top 750mm wide with 18mm plywood backing & back splash,752.0,0.5,0
6PP80,6mm thick polypropylene top 800mm wide with 18mm plywood backing,752.0,0.5,0
6PP80BS,6mm thick polypropylene top 800mm wide with 18mm plywood backing & back splash,752.0,0.5,0
6PP90,6mm thick polypropylene top 900mm wide with 18mm plywood backing,752.0,0.5,0
6PP90BS,6mm thick polypropylene top 900mm wide with 18mm plywood backing & back splash,752.0,0.5,0
BBENCH 100-60,"balance bench ,Size:1000x600x900mm (H)",752.0,1.5,0
BBENCH 100-75,"Balance bench ,Size:1000x750x900mm (H)",752.0,2.0,0
BBENCH 120-60,"balance bench ,Size:1200x600x900mm (H)",752.0,1.5,0
BBENCH 120-75,"balance bench ,Size:1200x750x900mm (H)",752.0,2.0,0
BBENCH 60-60,"balance bench ,Size:600x600x900mm (H)",752.0,0.9,0
BBENCH 75-75,"balance bench ,Size:900x750x900mm (H)",752.0,2.0,0
BBENCH 90-60,"balance bench ,Size:900x600x900mm (H)",752.0,1.5,0
BBENCH 90-60SP,"balance bench ,Size.900x600x900mm (H)",752.0,1.5,0
BBENCH 90-75,"balance bench ,Size:900x750x900mm (H)",752.0,2.0,0
BBENCH 90-90,"balance bench ,Size:900x900x900mm (H)",752.0,2.0,0
BMFC120,bench mounted fume cupboard 1200mm wide,1457.0,0.2,0
BMFC90,bench mounted fume cupboard 980 mm wide,1457.0,0.2,0
C1B075FHL,"u/b cabinet with 1 drawer, 1 adj. shelf and 2 doors 750mm wide with lock",752.0,0.65,0
C1B075PLL,"u/b cabinet with 1 drawer, 1 adj. shelf and 2 doors 750mm wide with lock",752.0,0.65,0
C1B075PLXL,"u/b cabinet with 1 drawer, 1 adj. shelf and 2 doors 750mm wide with lock",752.0,0.65,0
C1B075VHL,"u/b cabinet with 1 drawer, 1 adj. shelf and 2 doors 750mm wide with lock",752.0,0.65,0
C1MB075PHL,"u/b cabinet with 1 drawer, 1 adj. shelf and 2 doors 750mm wide with lock",752.0,0.65,0
C1MB075PHXL,"u/b cabinet with 1 drawer, 1 adj. shelf and 2 doors 750mm wide with lock",752.0,0.65,0
CA045FH,u/b storage cabinet  with 1 adjustable shelf & 1 door 450mm wide,756.0,0.4,0
CA045FHL,u/b storage cabinet  with 1 adjustable shelf & 1 door 450mm wide with lock,756.0,0.4,0
CA045FL,u/b storage cabinet with 1 adjustable shelf  &1door  450mm wide,756.0,0.33,0
CA045FLL,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide with lock,756.0,0.33,0
CA045PH,u/b storage cabinet with 1 adjustable shelf  & 1 door 450mm wide,752.0,0.62,0
CA045PHL,u/b storage cabinet with 1 adjustable shelf  & 1 door 450mm wide with lock,752.0,0.62,0
CA045PHX,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide,752.0,0.55,0
CA045PHXL,u/b storage cabinet with 1 adjustable shelf  & 1 door  450mm wide with lock,752.0,0.55,0
CA045PL,u/b storage cabinet with 1 adjustable shelf   & 1 door  450mm wide,752.0,0.54,0
CA045PLL,u/b storage cabinet with 1 adjustable shelf  & 1 door 450mm wide with lock,752.0,0.54,0
