1078,24MEL75,24mm thick melamine laminated plywood worktop 750mm wide,BLOCK,"752,754,3238,757,1479,759","0.5,0.5,1,1.5,2.85,0.01","1,2,3,4,5,6"
3655,24MEL75BS,24mm thick melamine laminated plywood worktop 750mm wide with back splash,BLOCK,"752,754,3238,757,1479,759","0.55,0.5,1,1.5,2.85,0.01","1,2,3,4,5,6"
3416,24MEL80,24mm thick melamine laminated worktop 800mm wide,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,1.9,0.01","1,2,3,4,5,6"
3417,24MEL80BS,24mm thick melamine laminated worktop 800mm wide with back splash,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,1.9,0.01","1,2,3,4,5,6"
184,24MEL90,24mm thick melamine laminated worktop 900mm wide,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,1.9,0.01","1,2,3,4,5,6"
3005,24MEL90BS,24mm thick melamine laminated worktop 900mm wide with back splash,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,1.9,0.01","1,2,3,4,5,6"
3970,6PP100,6mm thick polypropylene worktop 1000mm wide with 18mm plywood backing,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.75,2,0.02","1,2,3,4,5,6,7"
2899,6PP100BS,6mm thick polypropylene worktop 1000mm wide with 18mm plywood backing &back splash,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.75,2,0.02","1,2,3,4,5,6,7"
3443,6PP120,6mm thick polypropylene worktop 1200mm wide with 18mm plywood backing,BLOCK,"752,1964,762,757,1508,1479,759","0.75,0.75,0.75,0.56,1,2.5,0.025","1,2,3,4,5,6,7"
2900,6PP150,6mm thick polypropylene worktop 1500mm wide with 18mm plywood backing,BLOCK,"752,1964,762,757,1508,1479,759","0.75,0.75,0.75,0.56,1,2.5,0.025","1,2,3,4,5,6,7"
2896,6PP60,6mm thick polypropylene top 600mm wide with 18mm plywood backing,BLOCK,"752,1964,762,757,1508,1479,759","0.25,0.25,0.25,0.19,0.5,1.6,0.016","1,2,3,4,5,6,7"
3438,6PP60BS,6mm thick polypropylene top 600mm wide with 18mm plywood backing & back splash,BLOCK,"752,1964,762,757,1508,1479,759","0.25,0.25,0.25,0.19,0.5,1.6,0.016","1,2,3,4,5,6,7"
648,6PP70,6mm thick polypropylene top 700mm wide with 18mm plywood backing,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.5,1.75,0.0175","1,2,3,4,5,6,7"
3439,6PP70BS,6mm thick polypropylene top 700mm wide with 18mm plywood backing & back splash,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.5,1.75,0.0175","1,2,3,4,5,6,7"
2897,6PP75,6mm thick polypropylene top 750mm wide with 18mm plywood backing,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.5,1.75,0.0175","1,2,3,4,5,6,7"
3440,6PP75BS,6mm thick polypropylene top 750mm wide with 18mm plywood backing & back splash,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.5,1.75,0.0175","1,2,3,4,5,6,7"
2902,6PP80,6mm thick polypropylene top 800mm wide with 18mm plywood backing,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.75,1.9,0.019","1,2,3,4,5,6,7"
3441,6PP80BS,6mm thick polypropylene top 800mm wide with 18mm plywood backing & back splash,BLOCK,"752,1964,762,757,1508,1479,759","0.5,0.5,0.5,0.38,0.75,1.9,0.019","1,2,3,4,5,6,7"
