3646,BLOCK,13mm thick compact laminate corner worktop 900mm wide,13COMCOR90,,,,,,,,no,,1,0,,0,2,0,,,,48803,0,0,3,NULL,1,NULL,,,,,,698
3640,BLOCK,13mm thick compact laminate corner worktop 900mm wide with back splash,13COMCOR90BS,,,,,,,,no,,1,0,,0,2,0,,,,51841,0,0,3,NULL,1,NULL,,,,,,728
3613,BLOCK,13 mm thick compact hexagonal worktop 1200 mm wide,13COMHEX120-104,,,,,,,,no,,1,0,,0,2,0,,,,0,0,0,3,NULL,1,NULL,,,,,,0
3614,BLOCK,13 mm thick compact octagonal worktop 1200 mm wide,13COMOCT120-120,,,,,,,,no,,1,0,,0,2,0,,,,0,0,0,3,NULL,1,NULL,,,,,,0
704,BLOCK,13 mm thick corian worktop 600 mm wide with 18 mm thick plywood backing&b/s,13COR60,,,,,,,,,rm,1,0,,0,2,1,,,,0,0,0,3,NULL,1,NULL,,,,,,0
2817,BLOCK,15mm thick polypropylene worktop 1000mm wide with 18 mm thick plywood backing,15PP100,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
2818,BLOCK,15mm thick polypropylene worktop 1200mm wide with 18mm thick plywood backing,15PP120,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
2819,BLOCK,15mm thick polypropylene worktop 1500mm wide with 18mm thick plywood backing,15PP150,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
2812,BLOCK,15mm thick polypropylene worktop 600mm wide with 18mm thick plywood backing,15PP60,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
3444,BLOCK,15mm thick polypropylene worktop 600mm wide with 18mm thick plywood backing,15PP60BS,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
2813,BLOCK,15mm thick polypropylene worktop 700mm wide with 18mm thick plywood backing,15PP70,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
3445,BLOCK,15mm thick polypropylene worktop 700mm wide with 18mm thick plywood backing,15PP70BS,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
2814,BLOCK,15mm thick polypropylene worktop 750mm wide with 18mm thick plywood backing,15PP75,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
3446,BLOCK,15mm thick polypropylene worktop 750mm wide with 18mm thick plywood backing,15PP75BS,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,NULL,,,,,,0
2815,BLOCK,15mm thick polypropylene worktop 800mm wide with 18mm thick plywood backing,15PP80,,,,,,,,rm,,1,0,,0,2,1,,,,0,0,0,3,NULL,1,,,,,,,0
